Country Name,Country Code,Series Name,Series Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Cote d'Ivoire,CIV,Population density (people per sq. km of land area),EN.POP.DNST,17.5346729559748,18.3695377358491,19.249355345912,20.1648081761006,21.1130471698113,22.0959025157233,23.1140534591195,24.1695817610063,25.2630566037736,26.395248427673,27.5628647798742,28.7576729559748,29.9688773584906,31.189320754717,32.4127924528302,33.6421006289308,34.8891194968553,36.1712358490566,37.4996006289308,38.8754842767296,40.2906540880503,41.7347106918239,43.1932012578616,44.6533301886792,46.1167452830189,47.5807358490566,49.0232924528302,50.4168962264151,51.744213836478,52.9969402515723,54.1872295597484,55.3446949685535,56.5109842767296,57.7185943396226,58.9777169811321,60.2869496855346,61.6527295597484,63.0790786163522,64.5690062893082,66.1278364779874,67.7584528301887,69.4575660377358,71.2190943396226,73.0382012578616,74.9142327044025,76.8474056603774,78.8340440251572,80.8696666666667,82.9505503144654,85.0754716981132
Cote d'Ivoire,CIV,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.55759859,4.45654726,4.14796686,4.06708956,4.14513969,3.89134431,3.85719275,3.96364379,4.13571978,4.64521694,4.06208992,4.39368248,4.62200451,4.5898881,5.11125422,4.87471199,4.85199547,5.15028667,5.11732626,5.53552437,..,..
"Gambia, The",GMB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.63892317,5.70734835,6.35030413,5.56995296,5.54182816,5.72842979,6.19758415,5.67628479,5.46723223,5.18213415,5.08982468,5.49951601,5.1643424,3.91374874,4.451684,3.17612934,3.68266177,4.14472675,4.8878727,3.82171082,..,..
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,120.143504369715,148.174657143106,183.081764857947,213.306892087546,201.124878510292,239.433109984871,288.055777320372,335.804890876779,378.312989037587,332.680606319744,318.607862075407,304.837435369796,244.373342167364,298.660412324448,234.656286788678,265.491653208935,305.313617683872,310.299337281427,331.817740281771,695.410988509787,695.155371515626,711.726180956623,682.214156931891,696.449584292581,728.669071886674,669.401095968637,678.676178340413,637.939062861631,594.149388499649,505.421636114705,411.771893943142,335.906216950504,642.756218338464,665.720215700547,662.362877179135,780.381050920518,924.509874593614,833.28136036521,860.636433851486,762.763117720034,742.777628631243,700.516042152833,607.429904651813,660.723571244322,690.780493152792,679.75507172296,732.720727318856,772.045914215139,773.002070135524,..
"Gambia, The",GMB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,20.81935,22.07092,22.54759,23.69834,25.22417,29.18221,31.7409,35.70421,40.40406,48.89858,52.95195,56.37778,58.14528,60.93532,60.64459,..,..,..,49.01772,..,47.82232,51.04922,..,..,58.232,..,58.89308,67.98373,64.5223,64.28849,62.1224,65.33112,65.77435,63.87335,68.63829,70.6714,66.6445,..,67.89345,67.30464,70.27827,70.03975,69.82179,75.91325,77.65176,80.15436,81.80852,..,..,..
"Gambia, The",GMB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,836,..,..,..,..,836,..,..,..,..,836,..,..,..,..,836,..,..,..,..,836,..,..,..,..,836,..,..,..,..,836,..,..,..,..,836,..,..,..,..,836,..,..,..,..,836,..,..,..,..
"Gambia, The",GMB,Population density (people per sq. km of land area),EN.POP.DNST,48.6584980237154,50.1411067193676,51.7045454545455,53.3582015810277,55.1195652173913,56.9916007905138,58.9466403162055,60.945652173913,62.9695652173913,64.9783596837945,67.0070158102767,69.1895256916996,71.7083003952569,74.6829051383399,78.1759881422925,82.1157114624506,86.3083003952569,90.477371541502,94.4263833992095,98.0900197628459,101.529249011858,104.828162055336,108.124407114625,111.519466403162,115.028754940711,118.628656126482,122.344268774704,126.19743083004,130.208300395257,134.394268774704,138.761166007905,143.273221343874,147.877865612648,152.543972332016,157.257312252964,162.040118577075,166.925691699605,171.964130434783,177.193577075099,182.622727272727,188.243083003953,194.042292490119,200.003656126482,206.112648221344,212.365019762846,218.764822134387,225.305533596838,231.985770750988,238.800790513834,245.750988142292
"Gambia, The",GMB,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.13216257,6.13216257,6.13216257,6.13216257,6.13216257,6.13216257,6.13216257,6.13216257,6.13216257,6.13216257,6.13216257,6.13216257,6.13216257,6.13216257,5.75401974,5.0990448,6.59897995,4.37553978,5.0666008,4.41710997,..,..
Ghana,GHA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.79087734,3.17252946,2.8882091,2.83229733,2.77140665,3.64265633,3.68296194,3.81368589,3.89917445,4.42220068,4.25117254,4.71008253,4.03214407,4.62300539,4.10044813,4.62171459,3.46157742,3.35796332,3.48865867,3.41858864,..,..
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,228.859732843471,259.701843708917,296.890023865613,281.40612646801,271.125578261918,306.809965032651,345.834422933824,372.060120787553,402.060707757631,372.077443492073,345.641333225008,337.163348168986,355.666703674849,352.352714371426,435.068187671321,374.470341506465,372.683979564575,365.889682671763,398.637081088931,433.773264764704,409.746389786379,370.419454924392,328.744526865007,379.987984916879,397.135754957028,384.7963283302,407.523237017857,410.334011559612,258.471039929679,269.014984764581,304.564635977066,367.821362113662,417.508066727662,492.54405617264,913.393849309942,1081.16631826269,1217.06443549146,1077.66205832571,1299.34521164062,1549.46271883345,1587.56093185809,2361.09032388366,2012.26424719728,1774.07477092508,1971.95693464599,2074.29073272269,2260.86056729337,2246.62557816432,2205.5290158584,..
