,shapeGroup,shapeName,Precipitation,Temperature,Viirs_Average,Viirs_Cloud_Coverage_Count,Viirs_Cloud_Coverage_Sum,PM2.5AirPollution,OzoneAirPollution,Population,supprimer,Year
6,CIV,Montagnes,139.724410803,25.4532387623,0.0130050324108,144606.432617,144447.019287,18.9630203203,59.67881181,2236922.57031,36177.1293945,2012
7,CIV,Sassandra-Marahoue,115.831298013,25.9676711797,0.0507372144118,112664.632812,112559.115234,19.0929774807,62.2441228986,2172405.75,28080.8203125,2012
8,CIV,Savanes,112.839445081,27.0707304896,0.0326518132241,190434.554688,190193.130493,27.680036723,65.7835683314,1502310.79395,47668.8128662,2012
9,CIV,Valle Du Bandama,99.4987319901,26.7218461702,0.0370987865335,133814.413982,133653.794477,23.9755240465,68.0937126565,1387714.63291,33457.6300297,2012
10,CIV,Woroba,120.415090715,25.8567153075,0.00855738207119,146744.408997,146548.888611,24.3332737361,65.8762512203,791174.875,36735.8574219,2012
11,CIV,Zanzan,93.9973716326,26.873688895,0.01011573637,180864.632812,180700.786743,26.7682659953,70.5240091582,900724.65625,45257.0087891,2012
12,CIV,Lagunes,100.999775792,26.8512030482,0.0565376587266,96986.4418945,96829.5788574,15.7943769282,60.0255443115,1434767.5,24018.6601562,2012
13,CIV,Comoe,103.095969109,26.6741656045,0.0700188087689,65952.927002,65814.2583008,20.1418279157,62.626087482,1147743.5,16165.6796875,2012
0,GMB,Central River,74.1080056491,28.5840231589,0.000375279761827,14416.9804688,14374.4794922,34.794433969,46.2656037434,217339.75,3615.08984375,2012
1,GMB,Western Division,107.695421165,26.4596153815,0.215494146075,9083.49023438,9038.51953125,33.4999555289,46.5824272296,716715.3125,2226.75,2012
2,GMB,Greater Banjul Area,113.175,26.2333333333,3.69924154495,410.130004883,404.270019531,34.7603663982,45.8700027466,297989.25,93.6499938965,2012
3,GMB,North Bank Division,92.0926227292,27.2030431716,0.000138582062803,10405.2597656,10375.2802734,34.8464482879,45.9406631014,211841.359375,2565.67993164,2012
4,GMB,Lower River,95.6769728341,27.405874159,0.000372260854493,7221.90966797,7176.07958984,33.5713490485,46.3190218773,78800.3125,1796.34997559,2012
5,GMB,Upper River,79.5011685732,28.764391287,0.00128803738131,9717.54003906,9687.109375,34.531233769,47.7120138063,226400.5625,2436.98999023,2012
0,GHA,Western North Region,104.013959067,26.3237688321,0.032581506,48415.5773726,48332.4696474,23.2445262717,64.0334997869,752426.75,12124.8203125,2012
1,GHA,Ahafo Region,102.444264257,26.3152638196,0.0542392299191,23843.3386993,23783.2799072,20.4537509482,66.7907574576,484254.75,5976.45019531,2012
2,GHA,Bono East Region,110.54966115,27.5090832753,0.0129924242477,109476.660156,109328.411621,26.3654167288,73.2796083996,935512.46875,26747.6083984,2012
3,GHA,Savannah Region,96.9114181231,27.8401636588,0.00614570855692,166309.196838,166096.151855,28.7775668649,74.6197359773,537502.691895,41258.7102051,2012
4,GHA,North East Region,95.1382914971,28.5763277383,0.017152498822,44061.9291992,43937.3720703,27.7698633246,65.4611668879,513314.75,11046.0195312,2012
5,GHA,Oti Region,107.928055191,27.4110836253,0.00847620080517,52202.6530762,52095.5998535,25.4335852852,76.6728942215,644216.25,11775.7607422,2012
6,GHA,Western Region,101.409306031,26.5645970851,0.144211184857,65198.90625,65104.1123047,23.8198420864,60.5847821285,1703839.5,16301.5595703,2012
7,GHA,Eastern Region,109.019341112,26.9726744185,0.0914603050806,88038.8535156,87949.8291016,22.4770977788,67.7733908142,2713282.25,20454.9609375,2012
